,Country
0, Algeria
1, America
2, Andorra
3, Angola
4, Antigua and Barbuda
5, Argentina
6, Aruba
7, Australia
8," Australia, Australia"
9, Austria
10, Bahamas
11, Bahrain
12, Bangladesh
13, Barbados
14, Belgium
15, Belize
16, Bermuda
17, Brazil
18, Brunei
19, Bulgaria
20, Canada
21, Catalonia
22, Catalunya
23, Catalunya Spain
24," Catalunya, Spain"
25, Cayman islands
26, Cherokee
27, Chile
28, China
29, Colombia
30, Croatia
31, Cuba
32, Cyprus
33, Czech republic
34, Denmark
35, Deutschland
36, Dominican republic
37, Ecuador
38, Egypt
39, England
40," England, united kingdom"
41, Euskal herria
42, Fiji
43, Finland
44, France
45," Francisco Morazán, Honduras"
46, Gabon
47, Germany
48, Ghana
49, Greece
50, Grenada
51, Guatemala
52, Guinea-Bissau
53, Honduras
54, Hong Kong
55, Hungary
56, Iceland
57, India
58, Indonesia
59, Iran
60, Ireland
61, Israel
62, Italia
63, Italy
64, Jamaica
65, Japan
66, Kenya
67, Kuwait
68, Lebanon
69, Lithuania
70, Lleida
71, Luxembourg
72, Macedonia
73, Madagascar
74, Malaysia
75, Malta
76, Mauritius
77, Mexico
78, Moldova
79, Monaco
80, Mongolia
81, Morocco
82, Mozambique
83, Nepal
84, Netherlands
85, Nigeria
86, Norway
87, Oman
88, Orense
89, Pakistan
90, Panama
91, Papua new guinea
92, Paraguay
93, Pender
94, Peru
95, Philippines
96, Poland
97, Polk
98, Portugal
99, Puerto Rico
100, Qatar
101, Romania
102, Russia
103, Saudi Arabia
104, Singapore
105, Slovakia
106, Slovenia
107, Spain
108, Sri Lanka
109, Sweden
110, Switzerland
111, Taiwan
112, Tajikistan
113, Tanzania
114, Thailand
115, Tobago
116, Tonga
117, Trinidad and Tobago
118, Tunisia
119, USA
120, USA & Canada
121," USA, Guam"
122, Uganda
123, Uruguay
124," Venezia Giulia, Italy"
125, Venezuela
126, Vietnam
127, Wales
128," Wales, united kingdom"
129, Yugoslavia
130, Zambia
131, Zimbabwe
132," canary islands, Spain"
133, costa Rica
134, galiza
135, guernsey
136, jersey
137, new Zealand
138, quit
139, saint Lucia
140, south Africa
141, south Korea
142, turkey
143, united Arab emirates
144, united kingdom
145,Afghanistan
146,Alachua
147,Australia
148,Canada
149,Cape Verde
150,Denmark
151,England
152,France
153,Germany
154,Iceland
155,Ireland
156,Italy
157,Malaysia
158,Mexico
159,New Zealand
160,Nigeria
161,Philippines
162,Portugal
163,Spain
164,Tobago
165,USA
166,United Arab Emirates
167,United Kingdom
168,Vietnam
169,new Zealand
170,united kingdom
